,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
21,21,TrialState.COMPLETE,0.8057556308559389,2020-01-01 11:59:54.004943,2020-01-01 12:00:51.212428,0.8897223804868885,2,0.7822112245357651,0.2345969821018716,2.9529985356755175e-06,28,163,82,21
22,22,TrialState.COMPLETE,0.8246863892037697,2020-01-01 12:00:51.221385,2020-01-01 12:02:23.944430,0.8770940906118013,1,0.7863662497533878,1.4844062411240082,4.6638167020873184e-07,5,212,68,22
23,23,TrialState.COMPLETE,0.8217619764820959,2020-01-01 12:02:23.948395,2020-01-01 12:03:50.422843,0.9482388800143974,1,0.8046475690602053,2.5670240709813013,2.0244095689751919e-07,7,217,45,23
24,24,TrialState.COMPLETE,0.8128384402133004,2020-01-01 12:03:50.429893,2020-01-01 12:04:48.568406,0.7990152321516196,1,0.8692061916521876,9.863289299428503,5.00093159641014e-07,12,211,45,24
25,25,TrialState.COMPLETE,0.8230321157287497,2020-01-01 12:04:48.572121,2020-01-01 12:06:29.775866,0.9582870332586133,1,0.8048769717761659,1.0307516185870096,1.2050750025631003e-05,5,217,62,25
26,26,TrialState.COMPLETE,0.8198114545054545,2020-01-01 12:06:29.779627,2020-01-01 12:08:06.693789,0.9593810611224414,1,0.9137612930267888,2.6442759918371372,1.1251287338394119e-05,6,226,56,26
27,27,TrialState.COMPLETE,0.8240153001537502,2020-01-01 12:08:06.697624,2020-01-01 12:09:19.105716,0.9976117861166143,1,0.7100187805238067,1.2060124390053901,1.0787800029913609e-07,13,186,63,27
28,28,TrialState.COMPLETE,0.8209078967866743,2020-01-01 12:09:19.114693,2020-01-01 12:10:27.025489,0.9642927943737455,1,0.7149223088564539,0.9717505848593362,0.0006200137821210889,15,185,85,28
29,29,TrialState.COMPLETE,0.7904972468845769,2020-01-01 12:10:27.029086,2020-01-01 12:11:19.849071,0.9972063667043537,1,0.640245202355916,0.038548315253211,7.273672103376681e-08,41,152,63,29
30,30,TrialState.COMPLETE,0.8099376091317213,2020-01-01 12:11:19.852726,2020-01-01 12:12:13.283438,0.8380720025045036,1,0.587222903417051,9.205580052660109,7.184058103662417e-05,17,187,78,30
31,31,TrialState.COMPLETE,0.8216969073121942,2020-01-01 12:12:13.286988,2020-01-01 12:13:27.005261,0.959592460950992,1,0.8096082613634457,1.5336007995967575,1.4300750171706535e-07,11,225,65,31
32,32,TrialState.COMPLETE,0.8212738208473024,2020-01-01 12:13:27.010203,2020-01-01 12:14:48.998793,0.93739362295958,1,0.6963360315350736,3.2646082231531754,7.457087027408379e-06,7,198,49,32
33,33,TrialState.COMPLETE,0.8152822948868639,2020-01-01 12:14:49.003211,2020-01-01 12:16:20.340130,0.7747632115795627,2,0.8873658959371346,0.29767797091215137,2.9718853803616044e-07,10,215,55,33
34,34,TrialState.COMPLETE,0.7980936804102123,2020-01-01 12:16:20.347918,2020-01-01 12:17:11.504074,0.8662054195069939,1,0.7334565630348736,7.494573110200499,3.1207437671855147e-06,31,237,42,34
35,35,TrialState.COMPLETE,0.8195411156169321,2020-01-01 12:17:11.508256,2020-01-01 12:19:06.291898,0.9950522142935222,1,0.6736997858963187,0.1181845241270541,0.08733925238781089,5,140,88,35
36,36,TrialState.COMPLETE,0.8186707112080587,2020-01-01 12:19:06.296044,2020-01-01 12:20:05.326635,0.9999958353969219,3,0.7737582795053354,4.039835170885534,7.003706986129228e-08,17,114,53,36
37,37,TrialState.COMPLETE,0.7948543121349056,2020-01-01 12:20:05.330440,2020-01-01 12:20:59.655782,0.9166491312994889,2,0.8250951788372842,0.002330246047317801,1.953606142401659e-05,36,180,75,37
38,38,TrialState.COMPLETE,0.8139871662753635,2020-01-01 12:20:59.660160,2020-01-01 12:21:57.313587,0.6996678649420723,1,0.9420227301748153,0.6681508544803407,5.7539592278250396e-08,22,199,59,38
39,39,TrialState.COMPLETE,0.8110744630436283,2020-01-01 12:21:57.317382,2020-01-01 12:24:02.027860,0.9665418668449056,2,0.9919114153179782,0.06129094070869949,5.675368441217373e-07,10,235,49,39
40,40,TrialState.COMPLETE,0.7733686189602009,2020-01-01 12:24:02.032049,2020-01-01 12:24:50.658339,0.7745816119932843,6,0.8579519823105474,2.741011416756185,0.00012473398706309562,54,215,67,40
41,41,TrialState.COMPLETE,0.8236856625535467,2020-01-01 12:24:50.662011,2020-01-01 12:26:01.402534,0.9606720980706087,1,0.8137930966462643,1.6820513784229967,1.3993490092244903e-07,12,235,67,41
42,42,TrialState.COMPLETE,0.8118608838103185,2020-01-01 12:26:01.409071,2020-01-01 12:26:58.980957,0.9028318871675312,1,0.8052380306520018,8.925593168227772,1.825805499072225e-07,13,227,99,42
43,43,TrialState.COMPLETE,0.8212937378446277,2020-01-01 12:26:58.984739,2020-01-01 12:28:00.025742,0.9345481954694728,1,0.7208429771518042,1.0169821082493027,2.9103768606838106e-08,19,240,61,43
